Tensile Modulus (MPa),Tensile Strength (MPa),Flexural strength (MPa),Flexural Modulus (MPa),Glass Transition Temperature (degree celsius),Shore Hardness D (),Density (g/cm3)
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1800,52,70,1800,,80,1.05
1800,48,70,1800,,80,1.01
2600,30,61.25,2550,,82,1.3
,550,,,,,
,20,,27,,,1.2
61,18,6.2,86,,,1.12
,1150,,,,,7.7
,950,,,,,7.75
,1100,,,,,8
,,,,,,7.9
6130,51,76,4633,,,1.2
1602,46,46.3,1300,,,0.95
5600,67.5,103.5,5050,,,1.08
2644,44,60.3,2210,,,1.26
1542,49,60,1463,,,1.03
,,,,,,7.7
3412,47,63,2906,,,1.28
,430,,,,,2.65
,,,,,,8.35
,,,,,,8.65
,500,,,,,8.78
,840,,,,,8.3
,1000,,,,,8.4
,1050,,,,,8.2
,1160,,,,,4.45
,,,,,,4.4
3550,78,121,3300,,,1.15
3457,74,99,2842,,,1.14
,,38,1600,,70,1.4
,,54,1700,,62,1.3
,,25,1000,,64,1.21
,,38.5,1000,,66,1.21
,,38.5,1000,,66,1.21
,,64.5,,,,
,,28,1000,,66,1.35
,,55,2000,,80,1.44
9380,126.5,132,9050,,,1.1
12740,166,176.7,12400,,,1.4
1044,10.8,,,105,,1.04
701,9.2,,,99.5,,1.08
962.5,11.05,,,103,,1.06
1406.5,19,,,62,,1.34
967,6.4,,,97,,1.04
2100,145,,,,,1.27
,,,,-35,,1.15
,,,,,,1.25
,,,,60,,1.24
,,,,,,1.25
15000,170,,,,,1.18
9000,80,130,8000,74,,1.23
1904.5,17.85,,,60,,1.26
371,7.25,,,,,0.9
2490,25.2,75.85,3290,,,0.94
2064,21.6,,,60,,1.25
,33.3,59,,,,1.125
,65,85,1992,,,1.12
,59.7,94.1,,,,1.19
3738,99.9,147,3612,143,85,1.3
,76.5,158.1,4276,160,,1.29
,46.7,85.1,,,,1.205
3427,90,126,3197,215,,1.27
2230,86,116,2340,186,,1.34
2150,31,58,2100,103,,
,350,80.9,,,,
,450,400,,,,
,350,85,,,,
,250,,,,,
,380,85,,,,
,45,1900,,,80,
,,,,,68,
,45,1900,,,80,
,38,1850,,,81,
,45,1900,,,80,
,46,2000,,,84,
25,16,,,,40,
,,123,2710,,,
4.6,2,,,,,
1853,51.5,79.6,2293,55,86,
1853,51.5,79.6,2293,55,86,
,,123,2710,,,
1063,43.7,39.6,863,78,82,
,,41,1100,,82.5,1
2189,33.2,56.6,1822,100,72.2,1.032
1121,19.8,27.3,865,107,66.7,1.03
1775,27.7,44.7,1509,100,65.2,1.037
2172,44.6,67.7,1640,,79.2,1.193
3200,,,3300,215,,1.27
3440,74,138,2920,217,,
2900,,,3000,160,,1.27
2850,85,,,159,,
4015,41.3,80.4,2987,76,76.4,1.317
1833,11.1,57.5,1641,80,72.5,1.274
2491,22.9,62.8,2097,60,76.8,1.21
2787,40.3,67.6,2299,59,75.2,1.225
2963,57.9,91.6,2675,61,79.1,1.24
67,17.7,,66,160,91,1.22
90,41.7,3,81,,,1.16
3000,85,,,,,
3000,67,,,,,
15000,170,,,,,
3800,97,145,3400,,,
7800,126,,,,,
9000,80,130,8000,,,
,22.5,,,,,
,18,,27,,,
,18,,27,,,
,21,,93,3.1,,
,,,,,,3.065
,,,,,,3.16
,,,,,,6.088
,,,,,,6.088
,,,,,,2.44
,,,,,,3.985
,,430,,,,3.985
,760,,,,,3.23
1.4,1.9,,,,,
3.5,4.2,,,,,
1.6,2.3,,,,,
2.3,3.1,,,,,
6.4,8.4,,,,,
3.1,4.4,,,,,
1000,30,,,,,
1550,40,40,1275,,75,
1000,27.5,25,800,,70,
2600,51,,,,,
1100,19,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,33,,,,50,
,28,,,,,
,28,,,,70,
,31,,,,,
,29.5,,,,,
,28,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
125000,1050,,,,,
,,,,,,
54000,700,470,51000,,,
21000,590,210,22000,,,
,1420,,,,,
21000,600,420,21000,,,
,765,,,,,814.46
27000,610,190,26000,,,
940,54,32,840,,,
1400,30,81,2900,,,
1300,31,79,4000,,,1.2
2400,50,80,2400,,82.5,
200000,1100,,,,,8.5
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
180000,890,,,,,8.4
175000,890,,,,,8.1
170000,690,,,,,7.94
190000,520,,,,,7.93
195000,1100,,,,,7.3
180000,1100,,,,,8
110000,510,,,,,4.4
120000,1160,,,,,4.4
,,62,1900,,,
2300,,94,2100,,,
1900,,,,,,
2030,,,,,,
2020,,,,,,
3800,,,,,,
95,24,,,,45,
,26,,1795,,63,
1550,22,,,,,
1780,,59,1800,,,
,,,,,,
3990,,,,,,
4210,,,,,,
2300,,102,2020,,,
1400,,,,,81,
2350,63,,,,,
1820,37.2,,,,,
2400,,,,,,
2020,,69,2050,,,
3120,,,,57,,
3120,,,,57,,
3973,,,,,,
3600,53,83,3800,,,
4000,40,,,,,
,12,,420,,50,
3860,,,,,,
3500,,,,,,
,,,,,,
2580,,,,,,
,,,,,,
3120,,,,,,
150,,,,-16,,
,,,,,,
25,2.8,,,31,,
390,12,,,47,51,
2.86,1.11,,,,,
950,25,,,,,
2,3,,,10,,
2070,49,90,2590,86,85,
3,5,,,,,
16,9.7,,,,,
1571,63.1,,1288,,88,
2403,65.9,90,2808,113.5,85,
185,13.9,1.42,56.27,,67,
4.3,3.26,,,45,,
3.1,1.6,,,,,
1800,48,,,,80,
1800,60,,,,80,
3300,120,,,,90,
500,48,,,,60,
2.4,17.8,,,,,
11.1,18.3,,,,,
11500,,,,,,1.24
3800,39,,,,77,1.26
,330.5,,,,,
390000,,550,,,,3.96
,,,,,,
,,1900,,,,5.45
,,1900,,,,5.45
,,740,,,,4.12
,,,,,,
2315,50,,,57.5,,
2656,32,59.5,2196.5,57.5,,
,17.5,,72,,,1.05
1900,54,93,1590,93,80,
2460,63,93,1590,,85,
2460,60,93,1590,93,85,
,,115,2500,,85,
,,,,,85,
,84,,2383,,,
,,,,,,
,,,1980,,84,
,,65,2400,,85,
,,,1800,,,
,45,,,,,
,,85,2000,,85,
,,75,2100,,85,
,,85,2300,,85,
,,,2043,,,
396,48,,,-10,75,
26,39,,,-24,,
,12,,,,,
12,26,,,-35,,
,16.8,24,,,62,
,36.2,81,,,84,
,45,25,,,84,
,45,25,,,84,
,45,25,,,84,
,38,25,,,81,
,18.2,24,,,78,
,1337,,,,,
,,,,,,
,1432,,,,,
,,,,,,
,649,,,,,
,,,,,,
,904,,,,,
,,,,,,
,1446,,,,,
,,,,,,
,,,,,,
,,,,,,
,1332,,,,,
,,,,,,
,,,,,,
,,,,,,
,2042.5,,,,,
,2007,,,,,
,1888,,,,,
,,,,,,
,1034.5,,,,,
,862.5,,,,,
,660.5,,,,,
,1184,,,,,
,1002.5,,,,,4.3
,,,,,,
,1081.5,,,,,4.3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,938,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,1186.58,,,,,
,,,,,,
,799,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,1077,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
5860.5,89.45,,,310,,
4826,68.9,,,310,,
,733,,,,,8.44
,733,,,,,8.44
,848,,,,,8.61
,848,,,,,8.61
1900,38,56,,,,
1700,40,60,1800,,,
3500,50,,,,,
1100,37,,,,,
3800,97,145,3400,,,
3200,111,160,3300,,,
3000,53,71,2040,,,
,7,,,,,
,50,,,,,
,35,,,,,
,42,,,,,
,40,,,,,
,46,,,,92,1.1
,63,,,,90,1.09
1745,35.7,60.2,1198,70,,1.1
,29,,,,,1.17
2174,33.35,59,1339,101,,1.12
2379,43.8,73.4,,97.8,,
2307,62.7,100.4,2477,112,,1.19
1472,31.9,53.7,1174,81,,1.25
2636,46.6,85.1,3283,55,,1.17
2088.5,40,66.3,2081,109,,1.1
2097.5,36.5,64.4,1933,140,,1.2
2048,59.7,94.1,2044,113,,1.18
2634,56.35,96.9,2518,,,1.2
1558,30.1,55.1,,79,,1.25
1879,28.1,48,2119,55,,1.17
2223,66.2,97,1667,67,,1.12
6128.5,86.5,169,8339,56.6,,1.17
3900,72.05,136.4,4637,75,,1.2
1926,41.32,71.01,1156,69,,1.15
,23.2,52.9,2607,55,,0.8
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,920,,,,,
,,,,,,
,,,,,,
,,,,,,
,1019,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,90,1700,,80,
,,80,1600,,85,
,,90,1700,,80,
,,93,2121,,80,
,,84,1776,,80,
,,86,1791,,85,
,,108,2327,,85,
,,114,2438,,85,
,5,,,,,
,,83,1645,,80,
,,113,2442,,80,
,,169,5528,,80,
,6.2,,,,40,
,,80,1668,,85,
,,117,2508,,85,
,,91,2028,,80,
3450,33,,2300,,,1.4
3450,33,,2300,,,1.4
1350,45,,1250,,75,1.02
1450,45,,1300,,74,1.02
2550,30,,2275,,77,1.35
1602,46,46.3,1300,,,0.95
1550,44,,1350,,68,0.98
3800,58,90,,,,1.26
3050,64.7,121,2650,,89,
380,,450,,,,
2300,,85,2700,,82.5,
,,45,1000,,72.5,
,,115,2500,,87.5,
2000,,112.5,2275,,82.5,
2950,74,115,2450,,87.5,
2950,74,115,2450,,87.5,
200,,1100,,,,
1250,28,,1150,,75,0.89
65,7,,,,,1.12
2675,53,79.5,2780,,,1.1
2675,53,79.5,2770,,,1.1
1905,41,72.5,1960,,,1.09
2608,51.5,75,2522.5,,,1.12
2657,49,72,2730,,,1.11
2698,50,73,2720,,,1.12
2698,50,73,2720,,,1.12
2976,62,70,2933,,,1.11
2542,44.5,66.5,2633.5,,,1.08
2688,51.5,74.5,2730,,,1.12
7580,,105.25,6205,,,
,44,85,2175,110,,
2010,63,,,,,1.2
,,,1955,,,0.83
,,73,2110,80,,
3309,110,,,,,1.24
,,,,,,
,,,,,,
,,,,,,
,,84,,,83,1.1
2500,52,82,2000,,83,1.12
2500,52,82,2000,,83,1.12
2920,54,85,2670,,81,1.12
2920,54,85,2670,,81,1.12
,,70,2400,,,1.05
,53,71,2918,,,1.08
,171,,752,,40,
,22.7,436.4,2275,,,
,40,,,,,1.25
,53,76.07,2063,,,1.3
,6,,,,,0.95
64000,374.5,,,,,
220000,1101,,,,,
158000,968.5,,,,,
146000,906,,,,,
162000,1128,,,,,8.1
,336.5,,,,,2.68
,905,,,,,
,1176,,,,,4.42
141000,614,,,,,
172500,635.5,,,,,
114000,1119.5,,,,,
1500,45,46,1200,,77,
1689,47,58.5,1406,,,0.93
2291,33,52.8,1904,,,
6500,77,110,4800,,,
907,21.4,22.8,698,,,0.84
,,72,1853,99,,
2081,26.5,,1939.5,,,
2080,55.5,,2031.5,,,
1800,47.5,,1685,,,
2010,56.5,,1915,,,
6450,66.5,94,,,,
3739.5,35.5,86,,,,
2450,28.5,68,,,,
3595,48.5,120,,,,
2575,46.5,101,,,,
8800,106.5,143,,,,
4245.5,60,171,,,,
2689,54.3,99,,,,
4650,64.5,99,,,,
3759,41,86,,,,
2783.5,38,74,,,,
2365.5,62.5,,2310,,,
2807.5,57,,2610,,,
2807.5,57,,2610,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,1310,,,,,
413.65,23.4,,,,,
172.4,15.86,,,70,,
758.4,44.12,,,,,
1600,37,,,,,
400,22,,,,,
,,90,1600,,80,
,,,,,60,
,,,,,80,
,,78,1750,,80,
,,90,1700,,80,
,,90,1700,,80,
2000,,5,,,,1
23000,,20,,,,3
6000,,30,,,,1.5
35000,,60,,,,2.3
,,,,,,1.181
,,,,,,1.16
1750,30,35,2060,,77,
1750,30,35,2060,,77,
2403,66,88,2808,,85,
1570,40,24,650,,82,
2310,47.3,71.04,2590,,81.7,
2560,49,71.08,2790,,82,
,43.6,,,,,
6000,100,,,,,
4000,95,,,,,
,50,,2030,62,,
3585,127,,,,,
402,12,,,,,
150,50,,,,,
68,37,,,,,
15720,40.5,24,651,,82,
1030,25,27.3,1130,,64,
,,,,,85,
,,,,,85,
,,85,2100,,85,
,,,,,,
,,40,1000,,85,
,,40,1000,,85,
,,75,1700,,77.5,
,,75,1700,,,
,,79,2000,,78.5,
,,79,2000,,78.5,
,,80,2000,,85,
,,80,2000,,85,
1600,43,57,1432,,,
1600,43,57,1432,,,0.98
3200,40,71,2600,,,1.13
3500,42,70,3200,,,1.36
5800,65,85,2800,,,1.09
500,25,14,450,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,10,,,,,0.95
,1.8,,,,,0.7
,54,,,,76,1
,3.6,,,,,
,40,,,,,
,6,,,,,0.7
,,,,,,
,,29,,,,0.95
,,,,,84,1.12
30,86,,,,85,1.1
1681,86,,,,85,1.1
,,,,,79,1.1
,,,,,83,1.15
,1730,,,,,
,1110,,,,,
184000,633,,,,,
,1100,,,,,
155000,832,,,,,
64000,397,,,,,
,294,,,,,
57000,415,,,,,
194000,1101,,,,,
116000,495,,,,,
162000,772,,,,,
182000,961,,,,,
166000,994,,,,,
177000,1009,,,,,
125000,487,,,,,
114000,1062,,,,,
111000,1286,,,,,
105000,290,,,,,
110000,1358,,,,,
,,,,,,
70000,443,,,,,2.68
182000,961,,,,,8.44
170000,654,,,,,7.95
179000,1017,,,,,8.042
,140,,,,,1.33
11000,140,,,,,1.33
3120,48,,,,,1.29
3120,48,,,,,1.29
2300,35.6,,,220,,1.2
2000,42,,,220,,1.29
3400,77,,3200,,,1.13
6300,77,,6000,,,
,,80,2150,,,
70000,330,,,,,2.67
200000,1100,,,,,8.3
90000,400,,,,,8.8
200000,1150,,,,,7.9
200000,1090,,,,,8
160000,980,,,,,8.15
1550,44,,1350,34,,0.98
2550,30,,2275,,,1.35
170000,850,,,,,7.8
180000,850,,,,,7.8
180000,560,,,,,7.98
110000,1000,,,,,4.51
,,57.5,1600,,,
,,80,2150,,,
,,50,1600,,,
2400,36,61,2400,108,,1.04
1920,37,62,1920,116,,1.08
2400,36,61,2300,108,,1.04
2400,36,61,2300,108,,1.04
2200,33,46.5,1875,108,,
,2.75,,,,,1.14
3500,67.05,99.5,2900,149,,
3070,65,70,2920,158,,
1980,31.5,54,1750,108,,1.05
2465,68,106.5,2450,186,,
2500,57.5,92.5,2700,53,84.5,1.17
2800,57.5,70,1950,50,86,1.17
1575,36,45,1630,117,,
1500,25,35,1400,36,76,1.16
1275.5,42.25,64.5,1275,,,1
4907.5,55,100.05,6225,,,1.15
2024.5,52.05,89.6,2037.5,,,
18,17.1,2.1,31.25,-42,,1.13502
3350,75,120,3300,63.5,87.5,1.17
,4,,,,,1.16
2300,68,104,2200,161,,1.2
1900,41,68,1900,125,,1.098
2000,57,90,2100,161,,1.2
2100,55,110,2200,230,,1.28
2500,57.5,95,3000,49,84.5,1.18
1900,42.5,55.5,1600,50,82,1.2
,,,,132,,
2789,37,64.5,2700,63,,
,2.1,,,,61,1.14
,1.15,,,,27,1.12
,4,,,,75,1.16
,1.15,,,,27,1.12
2506.5,,110.5,2527,215,,1.27
2210,55.5,90,2175,186,,1.28
2500,57.5,92.5,2700,53,84.5,1.17
2500,55,65,2200,49,84.5,1.18
2500,57.5,92.5,2700,53,84.5,1.18
2500,57.5,92.5,2700,53,84.5,1.17
2500,57.5,92.5,2700,53,84.5,1.17
2500,55,92.5,2700,53,84.5,1.17
2700,59.5,95,2850,53,53,1.17
1275,53.5,68,1950,,80,
,,,,,,
2500,57.5,92.5,2700,53,84.5,1.17
2500,57.5,92.5,2700,53,84.5,1.17
2500,57.5,92.5,2700,53,84.5,1.17
2500,57.5,92.5,2700,53,84.5,1.17
2500,57.5,92.5,2700,53,84.5,1.17
2500,57.5,92.5,2700,53,84.5,1.17
2500,57.5,92.5,2700,53,84.5,1.17
1100,52.5,77.5,450,,85,
906.5,19.5,52,2265,,82.5,
,,65,2400,,85,
892.5,41.95,57.5,1900,,85,
503,55.8,,,82,,
183,33.1,,,52,,
1941,47.23,,,77,,
73,34,,,68,,
212.7,35.77,,,52,,
,47,,,93,,
73,34.8,,,74,,
440,40.7,,,77,,
555.425,31.33,,,76,,
,31,,490,,65,0.97
,103.42,151.68,12411,,,
,75.84,103.42,5516,,,
,162.03,262,25511,,,
,227.53,258.55,22063,,,
,237.18,265.45,24132,,,
,213.74,289.58,22753,,,
,172.37,237.87,13100,,,
,186.16,275.79,19305,,,
,131,220.63,8963,,,
,131,220.63,37232,,,
,86.18,227.53,28958,,,
,84.81,262,42058,,,
,134.45,199.95,11032,,,
,158.58,234.42,14479,,,
,75.84,110.32,6205,,,
,68.95,120.66,11032,,,
,167.54,248.21,7584,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,34,,
,92,133,6500,90,,1.38
,64,102,5500,90,,1.4
,55,84,3100,85,,1.22
2398,32,71,2241,,,1.26
1700,32,54,1994,,,1.36
1700,46,47,1700,,,0.95
2577,32,54,1994,,,1.36
2398,45,61,2241,,,1.25
175,8,,,,,0.95
1700,46,47,1700,,,0.95
2013,52.6,50,1900,,,0.96
2000,50,60,1900,,,0.95
1550,47,45,1200,,,0.96
1700,46,47,1700,,,0.95
,19,,,,,0.5
,20,,72,,,0.6
2500,,,,,,
9000,80,,8000,,,1.4
8000,110,,6800,,,1.07
2500,,,,,,
,,,20500,,,1.14
2500,,,,,,
65.5,,,,,,1.24
,32,,,,,1
,40,,,,,1
,40,,,,,1.2
,50,,,,,1.22
,55,,,,,1.24
65.5,,,,,,1.24
65.5,,,,,,1.24
,26,,,,,1.27
2500,,,,,,
,51,,2300,,,1.17
,19.6,,,,47,1.4
1440,,,,,75,1
2500,,,,,,
,,,20500,,,1.14
2340,71,,,,,1.2
25000,200,,,,,1.4
2300,,65,,,,1.04
,,,960,,,0.89
,54,,7000,,,1
2500,,,,,,
,,,,,,1.3
1800,,,,,,1.04
2000,43,,,,,1.1
,,,25,,,1.15
,,,32,,,1.11
,,,19500,,,1.08
,1150,,,,,7.7
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,76,2200,,,1.05
,45,71,2900,68,,1.15
,,,,70,,1.34
,,,,58,,1.24
,14,14,350,,55,0.89
,,,,,,1.09
,,,,,,
,4.3,,,,,
,3.7,,,,,
,,2.85,,,,
,,3.3,,,,
,,3.3,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1700,,90,,,80,1.1
800,,50,,,,1.1
1700,,90,,,80,1.1
,,,,,,1.19
1700,,90,,,80,1.1
,,,,,,1.1
,,,,,,1.1
600,,50,,,,1.1
,1091.5,,,,,
,1450,,,,,
,315,,,,,
,1350,,,,,
,985,,,,,
,710,,,,,
,1040,,,,,
,1180,,,,,
,1115,,,,,
,1070,,,,,
,1075,,,,,
3900,39,,,,,1.27
2020,50,,,,,1.27
7400,102,166,6100,,,1.17
6500,60,78,4300,,,0.94
35000,950,,,,,4.43
115000,1035,,,,,4.4
,,,,,,2.67
,,442.5,,,,3.85
,,1050,,,,11.5
90000,,,,,,8.9
,,,,,,8.3
,,,,,,8
3498,43,67,2413,,,1.24
6128,50,74,4630,,,1.18
160000,,,,,,8.15
,,80,2150,,,
,,80,2150,,,
,,,,,,7.89
,,,,,,4.51
,,57.5,1600,,,
,,80,2150,,,
,,50,1600,,,
1600,43,57,1432,,,0.97
61,21,3.3,74,,,1.15
,,,,,,
2460,45.7,68.9,2250,,81,1.1
2510,47.4,67.3,2200,,78,1.16
,,,,,,1.26
1700,48,58,1500,,75,0.93
1825,49,53,1350,,75,0.98
2350,42,65,2300,,,1.06
,,,,,,
2850,49,73,2900,,80,1.22
1200,23.5,,,,,0.895
1600,5.5,,,105,,0.77
,,,,,,
77.5,7.5,,,,,0.95
